date,predicted_price,actual_price,error,abs_pct_error,,
1/4/2021,131.1916,125.7409,5.4507,4.3349,,
1/5/2021,131.0107,127.2955,3.7152,2.9186,,
1/6/2021,130.5487,123.0105,7.5382,6.1281,,11.8097
1/7/2021,129.6103,127.208,2.4023,1.8884,,-13.2796
1/8/2021,128.8583,128.306,0.5523,0.4305,,
1/11/2021,128.4896,125.323,3.1666,2.5267,,
1/12/2021,128.0428,125.1482,2.8946,2.313,,
1/13/2021,127.4294,127.1789,0.2505,0.197,,
1/14/2021,127.0819,125.255,1.8269,1.4585,,
1/15/2021,126.8259,123.5352,3.2907,2.6638,,
1/19/2021,126.4849,124.2057,2.2793,1.8351,,
1/20/2021,126.0605,128.2865,-2.2261,1.7352,,
1/21/2021,126.0401,132.9893,-6.9492,5.2254,,
1/22/2021,126.9053,135.127,-8.2217,6.0844,,
1/25/2021,128.374,138.8678,-10.4938,7.5567,,
1/26/2021,130.3809,139.101,-8.72,6.2689,,
1/27/2021,132.6854,138.0322,-5.3468,3.8736,,
1/28/2021,134.7917,133.2031,1.5886,1.1926,,
1/29/2021,136.0317,128.2186,7.8131,6.0936,,
2/1/2021,136.4875,130.3367,6.1508,4.7192,,
2/2/2021,135.8602,131.1627,4.6975,3.5814,,
2/3/2021,135.1122,130.1425,4.9698,3.8187,,
2/4/2021,134.4237,133.4946,0.9292,0.696,,
2/5/2021,133.864,133.081,0.783,0.5884,,
2/8/2021,133.5734,133.227,0.3464,0.26,,
2/9/2021,133.3828,132.3512,1.0316,0.7794,,
2/10/2021,133.2651,131.7479,1.5172,1.1516,,
2/11/2021,133.1246,131.4948,1.6298,1.2394,,
2/12/2021,132.8797,131.7284,1.1512,0.874,,
2/16/2021,132.5789,129.607,2.9718,2.2929,,
2/17/2021,132.1924,127.3203,4.8721,3.8267,,
2/18/2021,131.3386,126.2207,5.118,4.0548,,
2/19/2021,130.1889,126.3764,3.8125,3.0168,,
2/22/2021,129.0913,122.6105,6.4809,5.2857,,
2/23/2021,127.7378,122.4742,5.2636,4.2977,,
2/24/2021,125.9593,121.978,3.9813,3.2639,,
2/25/2021,124.3812,117.7353,6.646,5.6449,,
2/26/2021,122.7959,117.998,4.7979,4.0661,,
3/1/2021,120.5602,124.3523,-3.7921,3.0495,,
3/2/2021,119.8301,121.7542,-1.9241,1.5803,,
3/3/2021,119.6773,118.7765,0.9008,0.7584,,
3/4/2021,119.3876,116.8984,2.4892,2.1294,,
3/5/2021,118.6606,118.1537,0.5069,0.429,,
3/8/2021,118.1281,113.2298,4.8983,4.326,,
3/9/2021,117.2775,117.8326,-0.5551,0.4711,,
3/10/2021,116.8289,116.7524,0.0765,0.0655,,
3/11/2021,116.7357,118.6792,-1.9435,1.6376,,
3/12/2021,117.0332,117.7742,-0.741,0.6292,,
3/15/2021,116.9724,120.6545,-3.6822,3.0518,,
3/16/2021,117.5463,122.1921,-4.6458,3.802,,
3/17/2021,118.6254,121.4038,-2.7785,2.2886,,
3/18/2021,119.6022,117.2876,2.3146,1.9734,,
3/19/2021,119.9251,116.7621,3.163,2.7089,,
3/22/2021,119.8159,120.0707,-0.2548,0.2122,,
3/23/2021,119.8811,119.2436,0.6375,0.5346,,
3/24/2021,120.02,116.8595,3.1605,2.7045,,
3/25/2021,119.9396,117.346,2.5936,2.2102,,
3/26/2021,119.3641,117.9493,1.4148,1.1995,,
3/29/2021,118.9921,118.1245,0.8676,0.7345,,
3/30/2021,118.6448,116.6746,1.9702,1.6886,,
3/31/2021,118.3467,118.8641,-0.5173,0.4352,,
4/1/2021,118.5039,119.6912,-1.1872,0.9919,,
4/5/2021,119.0394,122.5132,-3.4737,2.8354,,
4/6/2021,119.5307,122.8148,-3.2841,2.674,,
4/7/2021,120.3805,124.4594,-4.0788,3.2772,,
4/8/2021,121.3711,126.8532,-5.4821,4.3216,,
4/9/2021,122.9775,129.4221,-6.4446,4.9795,,
4/12/2021,124.6974,127.7095,-3.0121,2.3585,,
4/13/2021,126.4134,130.8137,-4.4003,3.3638,,
4/14/2021,128.1524,128.4783,-0.3259,0.2536,,
4/15/2021,129.6755,130.8819,-1.2064,0.9217,,
4/16/2021,131.0246,130.551,0.4736,0.3628,,
4/19/2021,131.8343,131.2127,0.6216,0.4738,,
4/20/2021,132.4423,129.5292,2.913,2.2489,,
4/21/2021,132.5817,129.9087,2.673,2.0576,,
4/22/2021,132.3975,128.3907,4.0068,3.1208,,
4/23/2021,131.8466,130.7067,1.1399,0.8721,,
4/26/2021,131.3726,131.0959,0.2767,0.2111,,
4/27/2021,131.3078,130.7748,0.533,0.4076,,
4/28/2021,131.201,129.9866,1.2144,0.9342,,
4/29/2021,130.9891,129.8893,1.0999,0.8468,,
4/30/2021,130.7051,127.9236,2.7815,2.1744,,
5/3/2021,130.1417,128.9745,1.1672,0.905,,
5/4/2021,129.7496,124.4107,5.3389,4.2914,,
5/5/2021,128.9164,124.654,4.2624,3.4194,,
5/6/2021,127.923,126.2499,1.6731,1.3253,,
5/7/2021,127.1067,126.9224,0.1843,0.1452,,
5/10/2021,126.6276,123.6473,2.9803,2.4103,,
5/11/2021,126.3452,122.731,3.6142,2.9448,,
5/12/2021,124.8545,119.6703,5.1842,4.3321,,
5/13/2021,123.7452,121.8148,1.9305,1.5848,,
5/14/2021,122.7358,124.2321,-1.4963,1.2044,,
5/17/2021,122.6249,123.0819,-0.457,0.3713,,
5/18/2021,122.4288,121.6978,0.731,0.6007,,
5/19/2021,122.3699,121.5418,0.8281,0.6813,,
5/20/2021,122.0062,124.0956,-2.0895,1.6838,,
5/21/2021,122.2741,122.2631,0.0109,0.009,,
5/24/2021,122.3956,123.891,-1.4953,1.207,,
5/25/2021,123.0754,123.696,-0.6206,0.5017,,
5/26/2021,123.4156,123.6473,-0.2316,0.1873,,
5/27/2021,123.92,122.1169,1.803,1.4765,,
5/28/2021,124.0221,121.4638,2.5583,2.1062,,
6/1/2021,123.8793,121.1422,2.7371,2.2594,,
6/2/2021,123.676,121.9025,1.7735,1.4548,,
6/3/2021,123.2763,120.4209,2.8555,2.3712,,
6/4/2021,122.7358,122.7115,0.0243,0.0198,,
6/7/2021,122.3835,122.7213,-0.3378,0.2753,,
6/8/2021,122.305,123.5401,-1.2351,0.9997,,
6/9/2021,122.5442,123.9202,-1.376,1.1104,,
6/10/2021,122.8931,122.926,-0.0329,0.0267,,
6/11/2021,123.0726,124.1347,-1.0621,0.8556,,
6/14/2021,123.2695,127.1856,-3.9161,3.0791,,
6/15/2021,123.8562,126.3668,-2.5106,1.9867,,
6/16/2021,124.5359,126.864,-2.3281,1.8351,,
6/17/2021,125.3248,128.4626,-3.1378,2.4426,,
6/18/2021,126.1845,127.1661,-0.9817,0.772,,
6/21/2021,127.1409,128.9597,-1.8188,1.4103,,
6/22/2021,127.8302,130.5973,-2.7671,2.1188,,
6/23/2021,128.5566,130.3243,-1.7677,1.3564,,
6/24/2021,129.3136,130.0417,-0.7281,0.5599,,
6/25/2021,130.0929,129.7492,0.3436,0.2649,,
6/28/2021,130.4576,131.377,-0.9195,0.6999,,
6/29/2021,131.0152,132.8879,-1.8728,1.4093,,
6/30/2021,131.4648,133.5021,-2.0373,1.526,,
7/1/2021,131.7332,133.8042,-2.071,1.5478,,
7/2/2021,132.4261,136.4263,-4.0002,2.9322,,
7/6/2021,133.3289,138.4343,-5.1054,3.688,,
7/7/2021,134.5367,140.9199,-6.3832,4.5296,,
7/8/2021,135.9841,139.6235,-3.6394,2.6066,,
7/9/2021,137.1795,141.4462,-4.2667,3.0165,,
7/12/2021,138.3579,140.8516,-2.4937,1.7704,,
7/13/2021,139.4995,141.9628,-2.4633,1.7352,,
7/14/2021,140.4334,145.3842,-4.9508,3.4053,,
7/15/2021,141.6903,144.7312,-3.0409,2.101,,
7/16/2021,142.7786,142.6939,0.0847,0.0593,,
7/19/2021,143.5521,138.8534,4.6986,3.3839,,
7/20/2021,143.5086,142.4599,1.0487,0.7361,,
7/21/2021,143.2888,141.7289,1.5599,1.1006,,
7/22/2021,143.0298,143.0936,-0.0638,0.0446,,
7/23/2021,143.0336,144.8091,-1.7755,1.2261,,
7/26/2021,143.2817,145.2283,-1.9466,1.3404,,
7/27/2021,143.7039,143.0644,0.6395,0.447,,
7/28/2021,143.896,141.3195,2.5765,1.8232,,
7/29/2021,143.7362,141.9628,1.7734,1.2492,,
7/30/2021,143.3705,142.1773,1.1932,0.8392,,
8/2/2021,143.1045,141.8459,1.2586,0.8873,,
8/3/2021,142.6457,143.6394,-0.9937,0.6918,,
8/4/2021,142.5414,143.2398,-0.6984,0.4876,,
8/5/2021,142.3344,143.347,-1.0126,0.7064,,
8/6/2021,142.267,142.6637,-0.3967,0.278,,
8/9/2021,142.2374,142.6149,-0.3775,0.2647,,
8/10/2021,142.151,142.1366,0.0145,0.0102,,
8/11/2021,142.0635,142.3903,-0.3269,0.2296,,
8/12/2021,142.1629,145.3482,-3.1853,2.1915,,
8/13/2021,142.4434,145.5533,-3.1099,2.1366,,
8/16/2021,142.9088,147.5252,-4.6164,3.1292,,
8/17/2021,143.3605,146.6173,-3.2569,2.2213,,
8/18/2021,144.1554,142.8785,1.2769,0.8937,,
8/19/2021,144.6557,143.2104,1.4453,1.0092,,
8/20/2021,144.8308,144.6649,0.1659,0.1147,,
8/23/2021,144.5044,146.1488,-1.6443,1.1251,,
8/24/2021,145.0295,146.0609,-1.0313,0.7061,,
8/25/2021,144.9346,144.8309,0.1037,0.0716,,
8/26/2021,145.254,144.0304,1.2236,0.8495,,
8/27/2021,145.2042,145.0652,0.139,0.0958,,
8/30/2021,145.4033,149.4776,-4.0743,2.7257,,
8/31/2021,145.7689,148.2183,-2.4494,1.6526,,
9/1/2021,147.238,148.8821,-1.6441,1.1043,,
9/2/2021,147.9587,149.995,-2.0363,1.3576,,
9/3/2021,148.659,150.6295,-1.9705,1.3082,,
9/7/2021,148.8809,152.9627,-4.0818,2.6685,,
9/8/2021,150.2249,151.4203,-1.1954,0.7894,,
9/9/2021,150.5241,150.4051,0.119,0.0791,,
9/10/2021,151.3067,145.4264,5.8804,4.0435,,
9/13/2021,151.238,145.9926,5.2455,3.593,,
9/14/2021,150.5258,144.5966,5.9292,4.1005,,
